name,number,lw_ratio,shape_index,distance,normalized_distance,hue,type
image-34-blob6,190,1.094584,1.010646,738,0.374074,66.87883,1
image-34-blob7,191,1.913207,1.039626,726,0.368519,78.149396,1
image-34-blob8,192,2.576283,1.053895,736,0.373148,79.184431,1
image-34-blob10,193,2.41927,1.57954,775,0.391204,87.488838,1
image-34-blob13,194,3.686984,1.141319,664,0.339815,75.594787,1
image-34-blob17,195,1.197319,1.605993,70,0,86.690562,0
image-34-blob20,196,1.306037,0.971321,814,0.344444,77.971277,1
image-34-blob21,197,2.655724,1.195462,856,0.363889,72.197692,1
image-35-blob0,198,2.621901,1.043231,966,0.456944,89.865612,1
image-35-blob1,199,1.419917,0.994156,894,0.423611,78.043006,1
image-35-blob3,200,4.732488,1.162789,882,0.418056,79.87462,1
image-35-blob4,201,3.49831,1.043446,821,0.389815,73.962717,1
image-35-blob6,202,5.473936,1.414253,129,0.069444,93.527229,1
image-35-blob7,203,2.632056,1.070464,535,0.237963,127.691465,1
image-36-blob1,204,6.183253,1.190528,304,0.131019,103.323305,1
image-36-blob2,205,3.203424,1.703738,274,0.11713,96.050501,1
image-36-blob3,206,4.663425,1.37727,633,0.283333,75.64511,1
image-37-blob2,207,1.080007,1.480525,83,0,83.613326,0
image-38-blob0,208,2.097941,1.066577,863,0.430556,75.539151,1
image-38-blob1,209,6.575391,1.326922,835,0.417593,79.107988,1
image-38-blob3,210,2.524128,1.051444,804,0.403241,75.085163,1
image-38-blob11,211,5.715888,1.886863,301,0.17037,0,1
image-40-blob0,212,2.143719,1.023636,995,0.493056,77.327504,1
image-40-blob1,213,1.800566,1.006984,953,0.473611,91.151377,1
image-40-blob2,214,3.119728,1.080533,750,0.37963,84.242818,1
image-40-blob3,215,3.249272,1.11457,704,0.358333,85.005667,1
image-40-blob4,216,2.201016,1.059504,685,0.349537,85.060079,1
image-40-blob5,217,3.353164,1.200067,655,0.335648,74.532217,1
image-40-blob6,218,2.72213,1.065986,648,0.332407,89.156191,1
image-40-blob7,219,3.407197,1.07071,639,0.328241,90.459956,1
image-40-blob8,220,3.036741,1.080883,575,0.298611,82.503436,1
image-40-blob9,221,4.446102,1.115718,555,0.289352,75.661883,1
image-40-blob11,222,4.225565,1.161915,524,0.275,89.482666,1
image-40-blob12,223,2.154979,1.106264,519,0.272685,85.825994,1
image-40-blob14,224,2.378519,1.004599,494,0.261111,99.606611,1
image-40-blob15,225,3.001689,1.064727,489,0.258796,92.50505,1
image-40-blob16,226,1.565402,1.00491,483,0.256019,80.844127,1
image-40-blob17,227,3.004403,1.059163,422,0.227778,90.752755,1
image-40-blob18,228,2.982173,1.076375,411,0.222685,96.919046,1
image-40-blob19,229,2.620186,1.044158,415,0.224537,90.211454,1
image-40-blob20,230,1.456217,1.413277,407,0.220833,83.170813,1
image-40-blob22,231,1.672325,0.98783,354,0.196296,76.46371,1
image-40-blob23,232,3.171244,1.234094,365,0.201389,82.327666,1
image-40-blob24,233,3.356186,1.072273,324,0.182407,96.360666,1
image-40-blob25,234,3.630699,1.145687,339,0.189352,90.507127,1
image-40-blob26,235,3.80972,1.122942,287,0.165278,97.521628,1
image-40-blob27,236,4.429149,1.130726,275,0.159722,81.727517,1
image-40-blob28,237,6.969845,1.274755,379,0.143056,69.943155,1
image-40-blob29,238,1.402228,1.744277,129,0.027315,82.517281,0
